"LANGUAGE","正體中文"
"PRR_NAME","Ploppable RICO Revisited 模組(Mod)"
"PRR_LEVEL","建築等級"
"PRR_LVL","等級"
"PRR_HOU","戶數"
"PRR_WOR","工作數量"
"PRR_SRV_NON","無"
"PRR_SRV_RES","住宅建築"
"PRR_SRV_IND","工業建築"
"PRR_SRV_OFF","辦公建築"
"PRR_SRV_COM","商業建築"
"PRR_SRV_EXT","工業產業園區 - 萃取器"
"PRR_SRV_DUM","虛擬建築"
"PRR_SUB_HIG","高密度"
"PRR_SUB_LOW","低密度"
"PRR_SUB_W2W","Wall-to-wall"
"PRR_SUB_HEC","高密度-專業化自給住宅行政專區建築"
"PRR_SUB_LEC","低密度-專業化自給住宅行政專區建築"
"PRR_SUB_LEI","專業化休閒娛樂行政專區建築"
"PRR_SUB_TOU","專業化觀光旅遊行政專區建築"
"PRR_SUB_ORG","專業化本土製造服務和有機農業行政專區建築"
"PRR_SUB_GEN","一般類型建築"
"PRR_SUB_FIN","Financial"
"PRR_SUB_ITC","專業化IT產業行政專區建築"
"PRR_SUB_FAR","專業化農牧業行政專區建築"
"PRR_SUB_FOR","專業化林業行政專區建築"
"PRR_SUB_OIL","專業化石化工業行政專區建"
"PRR_SUB_ORE","專業化礦業行政專區建築"
"PRR_FTR_ALL","全選"
"PRR_FTR_NON","全不選"
"PRR_FTR_NAM","名稱"
"PRR_FTR_SET","過濾器設置：模組(Mod)/作者/本地/任意"
"PRR_OPT_SET","設置"
"PRR_OPT_MOD","模組(Mod)"
"PRR_OPT_AUT","作者"
"PRR_OPT_LOC","本地"
"PRR_OPT_ENA","啟用為可放置型(RICO)建築"
"PRR_OPT_SER","建築類型"
"PRR_OPT_SUB","建築子級"
"PRR_OPT_UIC","建築界面分類"
"PRR_OPT_CST","建造花費"
"PRR_OPT_CNT","勞工(工人)/居民"
"PRR_OPT_POP","使用“真實人口(Realistic Population)”模組(Mod)"
"PRR_OPT_POL","啟用建築汙染擴散"
"PRR_OPT_GRO","建築可成長(Growable)功能"
"PRR_OPT_JB0","未受教育之職缺"
"PRR_OPT_JB1","受普通教育之職缺"
"PRR_OPT_JB2","受良好教育之職缺"
"PRR_OPT_JB3","受高等教育之職缺"
"PRR_OPT_URP","因為 ”真實人口(Realistic Population)“ 選項已開啟，所以人口設置功能已禁用。"
"PRR_CAT_MON","獨特建築"
"PRR_CAT_BEA","城市美化"
"PRR_CAT_EDU","教育系統"
"PRR_CAT_HEA","醫療保健系統"
"PRR_CAT_FIR","Fire department"
"PRR_CAT_POL","Police"
"PRR_CAT_POW","供電系統"
"PRR_CAT_WAT","供水汙水處理供暖系統"
"PRR_CAT_GAR","Garbage"
"PRR_CAT_PIN","Player industry"
"PRR_CAT_RES","住宅區"
"PRR_CAT_COM","商業區"
"PRR_CAT_OFF","辦公區"
"PRR_CAT_IND","工業區"
"PRR_UIC_REL","低密度住宅區"
"PRR_UIC_REH","高密度住宅區"
"PRR_UIC_COL","低密度商業區"
"PRR_UIC_COH","高密度商業區"
"PRR_UIC_OFF","辦公區"
"PRR_UIC_IND","工業區"
"PRR_UIC_FAR","專業化農牧業行政專區"
"PRR_UIC_FOR","專業化林業行政專區"
"PRR_UIC_OIL","專業化石化工業行政專區"
"PRR_UIC_ORE","專業化礦業行政專區"
"PRR_UIC_LEI","專業化休閒娛樂行政專區"
"PRR_UIC_TOU","專業化觀光旅遊行政專區"
"PRR_UIC_ORG","專業化本土製造服務和有機農業行政專區"
"PRR_UIC_ITC","專業化IT產業行政專區"
"PRR_UIC_ECO","專業化自給住宅行政專區"
"PRR_UIC_NON","全不選"
"PRR_SET","設置"
"PRR_SET_RICO","可放置型(RICO)設置"
"PRR_SET_HASMOD","模組(Mod)設置"
"PRR_SET_NOMOD","沒有模組(Mod)設置"
"PRR_SET_HASAUT","作者設置"
"PRR_SET_NOAUT","沒有作者設置"
"PRR_SET_HASLOC","本地設置"
"PRR_SET_NOLOC","沒有本地設置"
"PRR_SET_HASANY","任意設置"
"PRR_SET_HASNON","無設置"
"PRR_SAV_SAV","保存設訂"
"PRR_SAV_ADD","添加此建築設訂到全局文檔"
"PRR_SAV_REM","從全局文檔中刪除此建築設訂"
"PRR_SAV_APP","保存並即刻添加此建築設訂到對應界面"
"PRR_EXP","注意：本“Real-Time”功能仍為測試版"
"TRN_CHOICE","語言設置"
