"LANGUAGE","Čeština"
"RPR_NAME","Realistic Population 2"
"RPR_DESC","Realističtější počet obyvatel budov (na základě velikosti budovy) a potřeby veřejných služeb."
"RPR_REALPOP","Realistická populace"
"RPR_INF_VIS","návštěvníci"
"RPR_PCK_DEF"," (výchozí)"
"RPR_PCK_NAM","Výpočty"
"RPR_PCK_VAN_NAM","Vanilla (základní hra)"
"RPR_PCK_VAN_DES","Výpočty používané v základní (nemodifikované) hře."
"RPR_PCK_LEG_NAM","Starší výpočty WG"
"RPR_PCK_LEG_DES","Old calculations used by versions 1.x of this mod and Whitefang Greytail's original Realistic Population and Consumption mod."
"RPR_PCK_RLS_NAM","Jednobytové obydlí"
"RPR_PCK_RLS_DES","Jedna domácnost na budovu."
"RPR_PCK_RLD_NAM","Dvojdomy"
"RPR_PCK_RLD_DES","Dvě domácnosti na budovu."
"RPR_PCK_RUH_NAM","Americké výškové budovy"
"RPR_PCK_RUH_DES","Average US apartments and condos."
"RPR_PCK_REM_NAM","Evropské apartmány (moderní)"
"RPR_PCK_REM_DES","Evropské středně vysoké a zeď na zeď apartmány (střední hustota; moderní budovy)."
"RPR_PCK_REO_NAM","Evropské apartmány (starší)"
"RPR_PCK_REO_DES","Evropské středně vysoké a zeď na zeď apartmány (vysoká hustota; starší budovy)."
"RPR_PCK_CUS_NAM","Americký maloobchod"
"RPR_PCK_CUS_DES","General commercial retail density typical of USA."
"RPR_PCK_CUK_NAM","Anglický maloobchod"
"RPR_PCK_CUK_DES","General commercial retail density typical of UK."
"RPR_PCK_CRW_NAM","Supermarkety"
"RPR_PCK_CRW_DES","Velkoobchody s nepotravinářským zbožím a maloobchodní sklady."
"RPR_PCK_THT_NAM","Hotely"
"RPR_PCK_THT_DES","Hotely a motely."
"RPR_PCK_LFD_NAM","Potravinářské služby"
"RPR_PCK_LFD_DES","Restaurace a kavárny."
"RPR_PCK_LEN_NAM","Zábava"
"RPR_PCK_LEN_DES","Amusement, fitness, and entertainment centers."
"RPR_PCK_LCN_NAM","Kina"
"RPR_PCK_LCN_DES","Kina a divadla."
"RPR_PCK_ILG_NAM","Lehký průmysl"
"RPR_PCK_ILG_DES","Lehký průmysl a obchodní parky."
"RPR_PCK_IMN_NAM","Výroba"
"RPR_PCK_IMN_DES","Průmyslová výroba."
"RPR_PCK_IWL_NAM","Malé sklady"
"RPR_PCK_IWL_DES","Sklady pro místní distribuci - hodně skladování a nízká hustota pracovních míst."
"RPR_PCK_IWN_NAM","Velké sklady"
"RPR_PCK_IWN_DES","Sklady pro vnitrostátní distribuci - hodně skladování a velmi nízká hustota pracovních míst."
"RPR_PCK_OCP_NAM","Firemní kanceláře"
"RPR_PCK_OCP_DES","Corporate, professional services, and public sector offices."
"RPR_PCK_OFN_NAM","Finanční úřady"
"RPR_PCK_OFN_DES","Financial offices; higher density than typical corporate offices"
"RPR_PCK_OCS_NAM","Zákaznická centra"
"RPR_PCK_OCS_DES","Call centers and other tightly-packed offices"
"RPR_PCK_ODT_NAM","Datová centra"
"RPR_PCK_ODT_DES","Datacenters with co-location facilities"
"RPR_PCK_SSB_NAM","Předměstská škola"
"RPR_PCK_SSB_DES","Předměstské školy"
"RPR_PCK_SML_NAM","MN nízké"
