"LANGUAGE","Português Brasileiro"
"RPR_NAME","População Realista 2"
"RPR_DESC","Populações de construção mais realistas (com base no tamanho do edifício) e necessidades de utilidade."
"RPR_REALPOP","População Realista"
"RPR_INF_VIS","Visitantes"
"RPR_PCK_DEF","(padrão)"
"RPR_PCK_NAM","Cálculos"
"RPR_PCK_VAN_NAM","Padrão (jogo base)"
"RPR_PCK_VAN_DES","Cálculos conforme o jogo original (sem mods)."
"RPR_PCK_LEG_NAM","Cálculos herdados de WG"
"RPR_PCK_LEG_DES","Método de cálculo antigo usado pelas versões 1.x deste mod e População, e Consumo Realista por WG."
"RPR_PCK_RLS_NAM","Habitações individuais"
"RPR_PCK_RLS_DES","Uma residência por edifício."
"RPR_PCK_RLD_NAM","Duplex"
"RPR_PCK_RLD_DES","Duas residências por edifício."
"RPR_PCK_RUH_NAM","Arranha-céu Americano"
"RPR_PCK_RUH_DES","Apartamentos e condomínios médios americanos."
"RPR_PCK_REM_NAM","Apartamentos Europeus (modernos)"
"RPR_PCK_REM_DES","Apartamentos europeus de altura média e de parede a parede (densidade média; edifícios modernos)."
"RPR_PCK_REO_NAM","Apartamentos Europeus (Antigos)"
"RPR_PCK_REO_DES","Apartamentos Europeus de tamanho médio e de parede a parede (alta densidade; edifícios antigos)."
"RPR_PCK_CUS_NAM","Varejo Americano"
"RPR_PCK_CUS_DES","Densidade típica geral do comércio varejista americano."
"RPR_PCK_CUK_NAM","Varejo inglês"
"RPR_PCK_CUK_DES","Densidade típica geral do comércio varejista Inglês."
"RPR_PCK_CRW_NAM","Supermercados"
"RPR_PCK_CRW_DES","Supermercados não alimentícios e armazéns de varejo."
"RPR_PCK_THT_NAM","Hotéis"
"RPR_PCK_THT_DES","Hotéis e motéis."
"RPR_PCK_LFD_NAM","Serviço de alimentação"
"RPR_PCK_LFD_DES","Restaurantes e cafés."
"RPR_PCK_LEN_NAM","Entretenimento"
"RPR_PCK_LEN_DES","Parques de diversão, fitness, e centros de entretenimentos."
"RPR_PCK_LCN_NAM","Cinemas"
"RPR_PCK_LCN_DES","Cinemas e teatros."
"RPR_PCK_ILG_NAM","Indústria leve"
"RPR_PCK_ILG_DES","Indústrias leves e parques empresariais."
"RPR_PCK_IMN_NAM","Manufatura"
"RPR_PCK_IMN_DES","Fabricação industrial."
"RPR_PCK_IWL_NAM","Armazéns pequenos"
"RPR_PCK_IWL_DES","Armazéns para distribuição local - armazenamento grande e baixa densidade de emprego."
"RPR_PCK_IWN_NAM","Armazéns grandes"
"RPR_PCK_IWN_DES","Armazéns para distribuição nacional - grande armazenamento e baixíssima densidade de emprego."
"RPR_PCK_OCP_NAM","Escritórios Corporativos"
"RPR_PCK_OCP_DES","Escritórios corporativos, serviços profissionais e setor público."
"RPR_PCK_OFN_NAM","Escritórios Financeiros"
"RPR_PCK_OFN_DES","Escritórios financeiros; densidade mais alta do que escritórios corporativos típicos"
"RPR_PCK_OCS_NAM","Centrais de atendimento"
"RPR_PCK_OCS_DES","Centrais de atendimento e outros escritórios lotados"
"RPR_PCK_ODT_NAM","Centro de Dados"
"RPR_PCK_ODT_DES","Centros de Dados com instalações de co-localização"
"RPR_PCK_SSB_NAM","Escola Suburbana"
"RPR_PCK_SSB_DES","Escolas Suburbanas"
"RPR_PCK_SML_NAM","MN baixo"
"RPR_PCK_SML_DES","Guia do Departamento de Educação de Minnesota - densidade mais baixa"
"RPR_PCK_SMM_NAM","MN médio"
"RPR_PCK_SMM_DES","Guia do Departamento de Educação de Minnesota - densidade média"
"RPR_PCK_SMH_NAM","MN alto"
"RPR_PCK_SMH_DES","Guia do Departamento de Educação de Minnesota - maior densidade"
"RPR_PCK_SUK_NAM","Padrão do Reino Unido"
"RPR_PCK_SUK_DES","Densidade padrão de planejamento para o Reino Unido."
"RPR_PCK_FDF_NAM","Genérico"
"RPR_PCK_FDF_DES","Altura padrão de 3m do chão."
"RPR_PCK_FHO_NAM","Casas Autônomas"
"RPR_PCK_FHO_DES","Habitações residenciais isoladas."
"RPR_PCK_FDL_NAM","Saguões"
"RPR_PCK_FDL_DES","Edifícios com saguões e/ou primeiros andares elevados."
"RPR_PCK_FCM_NAM","Comercial"
"RPR_PCK_FCM_DES","Edifícios comerciais, escritóriais, educacionais e industriais com andares mais altos."
"RPR_PCK_FWH_NAM","Armazém"
"RPR_PCK_FWH_DES","Armazéns de varejo, comerciais e industriais."
"RPR_PCK_FHB_NAM","Armazém de vãos altos"
"RPR_PCK_FHB_DES","Armazéns industriais e comerciais de vãos altos"
