"LANGUAGE","한국어"
"RPR_NAME","Realistic Population 2"
"RPR_DESC","건물의 인구 밀도와 자원 요구량을 건물의 크기에 기반해서 더 현실적으로 만들어줍니다."
"RPR_REALPOP","현실적 인구"
"RPR_INF_VIS","방문자"
"RPR_PCK_DEF"," (기본값)"
"RPR_PCK_NAM","계산법"
"RPR_PCK_VAN_NAM","바닐라 (기본 게임)"
"RPR_PCK_VAN_DES","기본 (모드 없는) 게임 기준의 계산법"
"RPR_PCK_LEG_NAM","WG의 옛 계산법"
"RPR_PCK_LEG_DES","이 모드의 1.x 버전과 Whitefang Greytail의 원작 Realistic Population and Consumption 모드 기준의 계산법."
"RPR_PCK_RLS_NAM","단일 가구"
"RPR_PCK_RLS_DES","건물당 1가구"
"RPR_PCK_RLD_NAM","2개 가구"
"RPR_PCK_RLD_DES","건물당 2가구"
"RPR_PCK_RUH_NAM","미국의 고층 건물"
"RPR_PCK_RUH_DES","미국의 보통 아파트 및 콘도."
"RPR_PCK_REM_NAM","유럽의 아파트 (현대)"
"RPR_PCK_REM_DES","유럽의 중층 밀집 아파트 (중간 밀도, 현대적 건물)"
"RPR_PCK_REO_NAM","유럽의 아파트 (예전)"
"RPR_PCK_REO_DES","유럽의 중층 밀집 아파트 (중간 밀도, 고전적 건물)"
"RPR_PCK_CUS_NAM","미국 소매점"
"RPR_PCK_CUS_DES","미국의 일반적인 소매점 밀도."
"RPR_PCK_CUK_NAM","영국 소매점"
"RPR_PCK_CUK_DES","영국의 일반적인 소매점 밀도."
"RPR_PCK_CRW_NAM","초대형 매장"
"RPR_PCK_CRW_DES","식료품을 팔지 않는 초대형 매장과 소매점 창고."
"RPR_PCK_THT_NAM","호텔"
"RPR_PCK_THT_DES","호텔과 모텔."
"RPR_PCK_LFD_NAM","요식업"
"RPR_PCK_LFD_DES","식당과 카페."
"RPR_PCK_LEN_NAM","오락"
"RPR_PCK_LEN_DES","유흥, 체육, 오락 시설."
"RPR_PCK_LCN_NAM","영화관"
"RPR_PCK_LCN_DES","영화관과 극장."
"RPR_PCK_ILG_NAM","경공업"
"RPR_PCK_ILG_DES","경공업 및 상업 구역."
"RPR_PCK_IMN_NAM","제조업"
"RPR_PCK_IMN_DES","산업적 제조업."
"RPR_PCK_IWL_NAM","소형 창고"
"RPR_PCK_IWL_DES","지역적 분배를 위한 창고 - 높은 저장 밀도와 낮은 고용 밀도."
"RPR_PCK_IWN_NAM","대형 창고"
"RPR_PCK_IWN_DES","국가적 분배를 위한 창고 - 높은 저장 밀도와 아주 낮은 고용 밀도."
"RPR_PCK_OCP_NAM","기업 사무실"
"RPR_PCK_OCP_DES","기업, 전문직 사무실과 공무소."
"RPR_PCK_OFN_NAM","금융 사무실"
"RPR_PCK_OFN_DES","금융 사무실 - 일반적인 기업 사무실보다 높은 밀도."
"RPR_PCK_OCS_NAM","콜센터"
"RPR_PCK_OCS_DES","콜센터 등등 빽빽하게 들어찬 사무실."
"RPR_PCK_ODT_NAM","데이터 센터"
"RPR_PCK_ODT_DES","코로케이션 설비를 갖춘 데이터 센터"
"RPR_PCK_SSB_NAM","교외의 학교"
"RPR_PCK_SSB_DES","교외의 학교"
"RPR_PCK_SML_NAM","미네소타 저밀도"
"RPR_PCK_SML_DES","미네소타 교육부 지침 - 저밀도"
"RPR_PCK_SMM_NAM","미네소타 중밀도"
"RPR_PCK_SMM_DES","미네소타 교육부 지침 - 중밀도"
"RPR_PCK_SMH_NAM","미네소타 고밀도"
"RPR_PCK_SMH_DES","미네소타 교육부 지침 - 고밀도"
"RPR_PCK_SUK_NAM","영국 표준"
"RPR_PCK_SUK_DES","영국의 표준 계획 밀도."
"RPR_PCK_FDF_NAM","일반"
"RPR_PCK_FDF_DES","각 층의 높이가 3m인 일반적인 건물."
"RPR_PCK_FHO_NAM","단독 주택"
"RPR_PCK_FHO_DES","단일 가구가 거주하는 건물."
"RPR_PCK_FDL_NAM","로비"
"RPR_PCK_FDL_DES","로비가 있거나 1층이 높은 건물들."
"RPR_PCK_FCM_NAM","상업 건물"
"RPR_PCK_FCM_DES","각 층의 높이가 높은 상업, 사무, 교육, 산업 건물들."
"RPR_PCK_FWH_NAM","창고"
"RPR_PCK_FWH_DES","물품, 상업 및 산업 창고."
"RPR_PCK_FHB_NAM","고천장 창고"
"RPR_PCK_FHB_DES","각 층의 천장이 매우 높은 산업 및 상업 창고."
"RPR_PCK_FEX_NAM","1차 산업"
"RPR_PCK_FEX_DES","산업 원료 생산 및 가공 공장"
"RPR_PCK_SVE_NAM","바닐라 초등학교"
"RPR_PCK_SVE_DES","바닐라 초등학교의 정원과의 비율에 맞춰 조정함"
"RPR_PCK_SVH_NAM","바닐라 고등학교"
"RPR_PCK_SVH_DES","바닐라 고등학교의 정원과의 비율에 맞춰 조정함"
"RPR_PCK_SVC_NAM","바닐라 커뮤니티 학교"
"RPR_PCK_SVC_DES","바닐라 커뮤니티 학교의 정원과의 비율에 맞춰 조정함"
"RPR_PCK_SVA_NAM","바닐라 창작 예술 대학교"
"RPR_PCK_SVA_DES","바닐라 창작 예술 대학교의 정원과의 비율에 맞춰 조정함"
"RPR_CAT_ALL","모든 카테고리"
"RPR_CAT_RES","거주 건물"
"RPR_CAT_RLO","저밀도 거주 건물"
"RPR_CAT_RHI","고밀도 거주 건물"
"RPR_CAT_RW2","밀집 거주 건물"
"RPR_CAT_COM","상업 건물"
"RPR_CAT_CLO","저밀도 상업 건물"
"RPR_CAT_CHI","고밀도 상업 건물"
"RPR_CAT_CW2","밀집 상업 건물"
"RPR_CAT_OFF","사무 건물"
"RPR_CAT_OW2","밀집 사무 건물"
"RPR_CAT_FIN","금융 사무실"
"RPR_CAT_GEN","일반 건물"
"RPR_CAT_ITC","IT 클러스터 건물"
"RPR_CAT_IND","산업 건물"
"RPR_CAT_FAR","농업 건물"
"RPR_CAT_FOR","임업 건물"
"RPR_CAT_OIL","석유산업 건물"
"RPR_CAT_ORE","광업 건물"
"RPR_CAT_EXT","원료 생산 건물"
"RPR_CAT_PRO","가공 건물"
"RPR_CAT_TOU","관광 특화 건물"
"RPR_CAT_LEI","여가 특화 건물"
"RPR_CAT_ORG","유기농 및 지역 생산품"
"RPR_CAT_ECO","친환경 상업 건물"
"RPR_CAT_SSH","자급자족 거주 건물"
"RPR_CAT_ERL","자급자족 저밀도 거주 건물"
"RPR_CAT_ERH","자급자족 고밀도 거주 건물"
"RPR_CAT_SIN","특화 산업"
"RPR_CAT_SCH","학교"
"RPR_FIL_NAME","이름 :"
"RPR_FIL_SET","세팅 여부에 의해 추려내기 (툴팁 참고)"
"RPR_EDT_POP","인구 강제 지정"
"RPR_EDT_FLR","층수 강제 지정"
"RPR_FTR_ANY","강제 지정된 값 또는 기본 제공되지 않는 계산법이 적용된 건물입니다."
"RPR_FTR_OVR","인구 또는 층수가 강제 지정된 건물입니다."
"RPR_FTR_NDC","기본 제공되지 않는 계산법이 적용되었거나 인구 비율에 사용자가 지정한 계수가 곱해진 건물입니다."
"RPR_CUS_TITLE","사용자 지정 설정"
"RPR_CUS_ADD","사용자 지정 설정 추가"
"RPR_CUS_ADD_TIP","선택된 건물에 사용자 지정 설정을 적용 또는 수정함."
"RPR_CUS_DEL","사용자 지정 설정 삭제"
"RPR_CUS_DEL_TIP","선택된 건물에서 사용자 지정 설정을 삭제함."
"RPR_CUS_UPD","사용자 지정 설정 업데이트"
"RPR_ERR_ZERO","에러 - 양수 값을 입력하십시오."
"RPR_ERR_INV","에러 - 잘못된 값을 입력하셨습니다."
"RPR_LBL_HOM","총 가구 :"
"RPR_LBL_JOB","총 일자리 :"
"RPR_LBL_STU","학생 정원 :"
"RPR_LBL_OFF","1층의 높이"
"RPR_LBL_OFH","다른 층의 높이"
"RPR_PRV_SFL","계산된 층수 보기"
"RPR_CAL_MOD","이 모드의 계산법"
"RPR_CAL_DEN","인구 밀도"
"RPR_CAL_BFL","건물의 층수"
"RPR_CAL_FOV","강제로 지정하기"
"RPR_CAL_FLG","옛 계산법을 사용할 때는 층수 계산 방법을 조정할 수 없습니다."
"RPR_CAL_SAT","저장 후 적용:"
"RPR_CAL_NBD","새 건물에만"
"RPR_CAL_ABD","모든 건물에"
"RPR_CAL_VOL_FLR","층수"
"RPR_CAL_VOL_FLR_TIP","위의 세팅에 의해서 계산된 이 건물의 층수"
"RPR_CAL_VOL_TFA","전체 바닥 면적"
"RPR_CAL_VOL_TFA_TIP","위의 세팅에 의해서 계산된 이 건물의 전체 바닥 면적"
"RPR_CAL_VOL_UTS","전체 인구"
"RPR_CAL_VOL_UTS_TIP","위의 세팅에 의해서 계산된 이 건물의 전체 (거주 또는 근무) 인구"
"RPR_CAL_VOL_VIS","손님 수"
"RPR_CAL_VOL_VIS_TIP","이 건물이 동시에 최대로 맞을 수 있는 손님 수"
"RPR_CAL_VOL_PRD","생산률"
"RPR_CAL_VOL_PRD_TIP","이 건물의 최대 생산률."
"RPR_CAL_VOL_FLH","기본 층높이"
"RPR_CAL_VOL_FLH_TIP","미터(meter)로 잰 이 건물의 각 층의 일반적인 높이 (1층 제외)"
"RPR_CAL_VOL_FMN","1층의 최소 높이"
"RPR_CAL_VOL_FMN_TIP","건물의 영역 내에 최소한 이만큼의 높이를 가진 부분이 있어야 그 건물이 적어도 1개 층을 가진 것으로 다뤄질 수 있습니다."
"RPR_CAL_VOL_FMX","1층의 추가 높이"
"RPR_CAL_VOL_FMX_TIP","1층의 높이를 계산할 때 이 숫자만큼의 미터값이 기본 층높이 값에 더해지며, 2층부터는 그렇게 계산된 1층 높이에서부터 쌓아올려집니다."
"RPR_CAL_VOL_IGF","1층 무시"
"RPR_CAL_VOL_IGF_TIP","이걸 선택하면 이 건물의 1층은 로비나 현관 등의 빈 공간으로 취급되어 거주 가구나 직장 근로자를 받지 않게 됩니다."
"RPR_CAL_VOL_EPC","빈 공간 (%)"
"RPR_CAL_VOL_EPC_TIP","이 비율만큼의 각 층 바닥 넓이는 빈 공간으로 취급되며 거주 가구와 직장 근로자의 수를 계산할 때 포함되지 않습니다."
"RPR_CAL_VOL_EMP","빈 공간 (고정값)"
"RPR_CAL_VOL_EMP_TIP","이 수치만큼의 각 층 바닥 넓이는 빈 공간으로 취급되며 거주 가구와 직장 근로자의 수를 계산할 때 포함되지 않습니다."
"RPR_CAL_VOL_FXP","인구 강제 지정?"
"RPR_CAL_VOL_FXP_TIP","이 설정을 적용하면 건물의 크기에 상관없이 강제 지정된 수만큼의 거주 가구나 직장 근로자만을 받게 됩니다."
"RPR_CAL_VOL_UNI","단위"
"RPR_CAL_VOL_HOU","총 가구"
"RPR_CAL_VOL_WOR","총 일자리"
"RPR_CAL_VOL_STU","학생 정원"
"RPR_CAL_VOL_UNI_TIP","건물마다 고정된 수의 거주 가구나 직장 근로자만을 받게 하기."
"RPR_CAL_VOL_APU","단위당 넓이"
"RPR_CAL_VOL_APU_TIP","각 거주 가구와 직장 근로자들은, 빈 공간을 제외하고, 이 숫자(m2)만큼의 공간을 필요로 합니다."
"RPR_CAL_VOL_MFU","여러 층에 걸친 단위"
"RPR_CAL_VOL_MFU_TIP","""이것을 설정하지 않으면 거주 가구와 직장 근로자의 수는 건물의 각 층마다 넓이를 따로따로 계산하여 적용됩니다. 이것을 설정하면 거주 가구와 직장 근로자의 수를 계산할 때 건물의 총 면적만을 사용합니다."""
"RPR_CAL_VOL_ARA","넓이"
"RPR_CAL_UNI_HOU","가구"
"RPR_CAL_UNI_WOR","일자리"
"RPR_CAL_UNI_STU","학생"
"RPR_CAL_HOM_CALC","계산된 거주 가구 :"
"RPR_CAL_HOM_CUST","지정된 거주 가구 :"
"RPR_CAL_HOM_APPL","적용된 거주 가구 :"
"RPR_CAL_JOB_CALC","계산된 일자리 :"
"RPR_CAL_JOB_CUST","지정된 일자리 :"
"RPR_CAL_JOB_APPL","적용된 일자리 :"
"RPR_CAL_BLD_X","건물 폭 (m) :"
"RPR_CAL_BLD_Z","건물 길이 (m) :"
"RPR_CAL_LOT_X","부지 폭 (칸) :"
"RPR_CAL_LOT_Z","부지 길이 (칸) :"
"RPR_CAL_BLD_Y","비계 높이 (m) :"
"RPR_CAL_BLD_M2","인원당 넓이 (m2) :"
"RPR_CAL_FLR_Y","층당 높이 (m) :"
"RPR_CAL_FLR_M","층수 보정 (옛 계산법 전용)"
"RPR_CAL_FLR","계산된 층수 :"
"RPR_CAL_M2","계산된 총 넓이 : "
"RPR_CAL_OVR","(강제 지정됨)"
"RPR_CAL_OVM","사용자의 설정에 의해 이 건물의 인구는 강제 설정되었습니다."
"RPR_CAL_RICO","Ploppable RICO Revisited에 의해서 이 건물의 수치가 조정되었습니다."
"RPR_CAL_CAP_OVR","정원 계수 지정"
"RPR_CAL_CAP_DEF","기본 계수 :"
